ID,Original,Firma,Zusatz,Straße,PLZ,Stadt,Land
17173,"SEACOM Trailer Systems GmbH
Mollenbachstrasse 14
71229 Leonberg",SEACOM Trailer Systems GmbH,,Mollenbachstrasse 14,71229,Leonberg,DE
17181,"peyer graphic GmbH
Mollenbachstraße 33-35
71229 Leonberg",peyer graphic GmbH,,Mollenbachstraße 33-35,71229,Leonberg,DE
17203,"Köhler IT Inhaber Stefan Köhler
Mollenbachstraße 14
71229 Leonberg",Köhler IT Inhaber Stefan Köhler,,Mollenbachstraße 14,71229,Leonberg,DE
17437,"schwabe-braun netzwerke GmbH
Mollenbachstr. 14
71229 Leonberg",schwabe-braun netzwerke GmbH,,Mollenbachstr. 14,71229,Leonberg,DE
17492,"Ernst Granzow GmbH & Co. KG
Hertichstraße  27
71229 Leonberg",Ernst Granzow GmbH & Co. KG,,Hertichstraße  27,71229,Leonberg,DE
17508,"Leomedia GmbH
Mollenbachstraße 19
71229 Leonberg",Leomedia GmbH,,Mollenbachstraße 19,71229,Leonberg,DE
17885,"Dr. Eilebrecht SSE GmbH & Co. KG
Mollenbachstraße 19
71229 Leonberg",Dr. Eilebrecht SSE GmbH & Co. KG,,Mollenbachstraße 19,71229,Leonberg,DE
17192,"XETICS GmbH
Dornierstr. 12
71254 Ditzingen",XETICS GmbH,,Dornierstr. 12,71254,Ditzingen,DE
16666,"d&b audiotechnik GmbH & Co. KG
Eugen-Adolff-Str. 134
71522 Backnang",d&b audiotechnik GmbH & Co. KG,,Eugen-Adolff-Str. 134,71522,Backnang,DE
17294,"Telent GmbH 
Gerberstraße 34
71522 Backnang",Telent GmbH ,,Gerberstraße 34,71522,Backnang,DE
17430,"COMPRiS GmbH Channel Management
Hoferstraße 9 B
71636 Ludwigsburg",COMPRiS GmbH Channel Management,,Hoferstraße 9 B,71636,Ludwigsburg,DE
18058,"WOLFF & MÜLLER ENERGY GMBH
Wilhelm-Bleyle-Straße 1
71636 Ludwigsburg",WOLFF & MÜLLER ENERGY GMBH,,Wilhelm-Bleyle-Straße 1,71636,Ludwigsburg,DE
18596,"mhplus Betriebskrankenkasse
Referenz: X-SDO-2020-0019 | 2020/S 167-404229
Rechnungsstelle UBIT: P071065863 
Franckstraße 8
71636 Ludwigsburg",mhplus Betriebskrankenkasse,"Referenz: X-SDO-2020-0019 | 2020/S 167-404229
Rechnungsstelle UBIT: P071065863",Franckstraße 8,71636,Ludwigsburg,DE
16944,"Evangelische Hochschule Ludwigsburg
Paulusweg 6
71638 Ludwigsburg",Evangelische Hochschule Ludwigsburg,,Paulusweg 6,71638,Ludwigsburg,DE
17426,"Landratsamt Ludwigsburg
Hindenburgstraße 40
71638 Ludwigsburg",Landratsamt Ludwigsburg,,Hindenburgstraße 40,71638,Ludwigsburg,DE
18624,"DQuadrat Living GmbH
Solitudestraße 48
71638 Ludwigsburg",DQuadrat Living GmbH,,Solitudestraße 48,71638,Ludwigsburg,DE
17162,"Geisselmann GmbH
Höpfigheimer Straße 6
71691 Freiberg a. N.",Geisselmann GmbH,,Höpfigheimer Straße 6,71691,Freiberg a. N.,DE
17115,"Reisebüro Reeg GmbH
Schellingstr. 2
72072 Tübingen",Reisebüro Reeg GmbH,,Schellingstr. 2,72072,Tübingen,DE
17071,"netcare Business Solutions GmbH
Lichtäcker 1
72149 Neustetten",netcare Business Solutions GmbH,,Lichtäcker 1,72149,Neustetten,DE
16368,"Druck- und Verlagshaus Hermann Daniel GmbH & Co. KG
Grünewaldstr. 15
72336 Balingen",Druck- und Verlagshaus Hermann Daniel GmbH & Co. KG,,Grünewaldstr. 15,72336,Balingen,DE
17108,"nds Netzwerksysteme GmbH
Carl-Zeiss-Str. 55
72555 Metzingen",nds Netzwerksysteme GmbH,,Carl-Zeiss-Str. 55,72555,Metzingen,DE
16613,"DRK KV Nürtingen-Kirchheim/Teck e.V.
Postfach 1720
72622 Nürtingen",DRK KV Nürtingen-Kirchheim/Teck e.V.,,Postfach 1720,72622,Nürtingen,DE
16622,"DRK-Seniorenzentrum Haus im Park gGmbH
Laiblinsteg 7
72622 Nürtingen ",DRK-Seniorenzentrum Haus im Park gGmbH,,Laiblinsteg 7,72622,Nürtingen ,DE
16629,"DRK Rettungsdienst Esslingen-Nürtingen gGmbH
Hohes Gestade 14
72622 Nürtingen",DRK Rettungsdienst Esslingen-Nürtingen gGmbH,,Hohes Gestade 14,72622,Nürtingen,DE
16747,"DRK-Seniorenzentrum Haus am Schönrain gGmbH
Laiblinstegstr. 7
72622 Nürtingen",DRK-Seniorenzentrum Haus am Schönrain gGmbH,,Laiblinstegstr. 7,72622,Nürtingen,DE
16764,"SELTRA Natursteinhandel GmbH
In der Au 14
72622 Nürtingen",SELTRA Natursteinhandel GmbH,,In der Au 14,72622,Nürtingen,DE
16890,"DRK Familienzentren gGmbH
Familienzentrum Nürtingen
Laiblinstegstr. 7
72622 Nürtingen",DRK Familienzentren gGmbH,Familienzentrum Nürtingen,Laiblinstegstr. 7,72622,Nürtingen,DE
17141,"DRK-Seniorenzentrum Neckarstift gGmbH
Nekartailfinger Straße 3
72622 Nürtingen-Neckarhausen",DRK-Seniorenzentrum Neckarstift gGmbH,,Neckartailfinger Straße 3,72622,Nürtingen,DE
17428,"DRK-Seniorenzentrum Fickerstift gGmbH
Laiblinstegstr. 7
72622 Nürtingen",DRK-Seniorenzentrum Fickerstift gGmbH,,Laiblinstegstr. 7,72622,Nürtingen,DE
16417,"21TORR  GmbH
Heinestrasse 72
72762 Reutlingen",21TORR GmbH,,Heinestrasse 72,72762,Reutlingen,DE
18586,"REIFF Technische Produkte GmbH
Tübinger Str. 2-6
72762 Reutlingen",REIFF Technische Produkte GmbH,,Tübinger Str. 2-6,72762,Reutlingen,DE
18725,"21TORR GmbH
Heinestrasse 72
72762 Reutlingen",21TORR GmbH,,Heinestrasse 72,72762,Reutlingen,DE
131,"Reutlinger General-Anzeiger Verlags GmbH & Co. KG
Burgstraße 1-7
72764 Reutlingen",Reutlinger General-Anzeiger Verlags GmbH & Co. KG,,Burgstraße 1-7,72764,Reutlingen,DE
16131,"Druckzentrum Neckar-Alb GmbH & Co. KG
Burgplatz 5
72764 Reutlingen",Druckzentrum Neckar-Alb GmbH & Co. KG,,Burgplatz 5,72764,Reutlingen,DE
16350,"Dr. Kroll & Partner
Pfenningstraße 2
72764 Reutlingen",Dr. Kroll & Partner,,Pfenningstraße 2,72764,Reutlingen,DE
16374,"dieWERTschöpfer GmbH
Lederstraße 126
72764 Reutlingen",dieWERTschöpfer GmbH,,Lederstraße 126,72764,Reutlingen,DE
16646,"CMO Internet Dienstleistungen GmbH
Kaiserstraße 57/1
72764 Reutlingen
",CMO Internet Dienstleistungen GmbH,,Kaiserstraße 57/1,72764,Reutlingen,DE
16939,"Stadthalle Reutlingen GmbH
Oskar-Kalbfell-Platz 8
72764 Reutlingen",Stadthalle Reutlingen GmbH,,Oskar-Kalbfell-Platz 8,72764,Reutlingen,DE
16671,"DRK-Seniorenzentren Neckar-Fils gGmbH
Hauptstr. 24/1
73110 Hattenhofen
",DRK-Seniorenzentren Neckar-Fils gGmbH,,Hauptstr. 24/1,73110,Hattenhofen,DE
16619,"DRK Seniorenzentrum Steingaustift gGmbH
Steingaustraße 26
73230 Kirchheim/Teck",DRK Seniorenzentrum Steingaustift gGmbH,,Steingaustraße 26,73230,Kirchheim unter Teck,DE
17142,"DRK-Seniorenzentrum Fickerstift gGmbH
Osianderstraße 12
73230 Kirchheim/Teck",DRK-Seniorenzentrum Fickerstift gGmbH,,Osianderstraße 12,73230,Kirchheim unter Teck,DE
17143,"DRK-Seniorenzentrum Steingaustift gGmbH
Steingaustraße 26
73230 Kircheim/Teck",DRK-Seniorenzentrum Steingaustift gGmbH,,Steingaustraße 26,73230,Kirchheim unter Teck,DE
17429,"DRK-Seniorenzentrum Steingaustift gGmbH
Steingaustr. 26
73230 Kirchheim unter Teck",DRK-Seniorenzentrum Steingaustift gGmbH,,Steingaustr. 26,73230,Kirchheim unter Teck,DE
18283,"DRK-Seniorenzentrum Kalixtenberg gGmbH
Kalixtenbergstraße 28
73235 Weilheim an der Teck",DRK-Seniorenzentrum Kalixtenberg gGmbH,,Kalixtenbergstraße 28,73235,Weilheim an der Teck,DE
16687,"DRK- Seniorenzentrum Haus im Park gGmbH
Weberstr.1
73240 Wendlingen
",DRK- Seniorenzentrum Haus im Park gGmbH,,Weberstr.1,73240,Wendlingen,DE
16713,"scireum GmbH
Eisenbahnstraße 24
73630 Remshalden",scireum GmbH,,Eisenbahnstraße 24,73630,Remshalden,DE
17790,"Privileg Finanz Concept GmbH
Schillerstrasse 11
73728 Esslingen",Privileg Finanz Concept GmbH,,Schillerstrasse 11,73728,Esslingen am Neckar,DE
17327,"Hemminger Ingenieurbüro GmbH&co.KG
Röntgenstraße 1/1
73730 Esslingen",Hemminger Ingenieurbüro GmbH&co.KG,,Röntgenstraße 1/1,73730,Esslingen am Neckar,DE
17343,"PROMESS GmbH
Röntgenstraße 1/1
73730 Esslingen",PROMESS GmbH,,Röntgenstraße 1/1,73730,Esslingen am Neckar,DE
17344,"Langheck + Co KG
Ulmer Straße 34
73730 Esslingen",Langheck + Co KG,,Ulmer Straße 34,73730,Esslingen am Neckar,DE
17974,"Süddeutsche Zeitungszentrale GmbH & Co. KG
Dornierstraße 40
73730 Esslingen",Süddeutsche Zeitungszentrale GmbH & Co. KG,,Dornierstraße 40,73730,Esslingen am Neckar,DE
17522,"GL-Abbruch GmbH
Klosterallee 26
73733 Esslingen am Neckar",GL-Abbruch GmbH,,Klosterallee 26,73733,Esslingen am Neckar,DE
17417,"Vink König Deutschland GmbH
- Herzog Plastic -
Niederlassung Esslingen
Dieselstraße 52 
73734 Esslingen
",Vink König Deutschland GmbH,"- Herzog Plastic -
Niederlassung Esslingen",Dieselstraße 52 ,73734,Esslingen am Neckar,DE
17075,"Pilz GmbH & Co. KG
Felix-Wankel-Straße 2
73760 Ostfildern",Pilz GmbH & Co. KG,,Felix-Wankel-Straße 2,73760,Ostfildern,DE
17218,"Elektror airsystems gmbh
Hellmuth-Hirth-Str. 2
73760 Ostfildern",Elektror airsystems gmbh,,Hellmuth-Hirth-Str. 2,73760,Ostfildern,DE
18007,"ENGIE Deutschland GmbH
Bereich 1405
74071 Heilbronn
",ENGIE Deutschland GmbH,,Bereich 1405,74071,Heilbronn,DE
16679,"Autohaus Heermann - Rhein GmbH
Neckarsulmer Str. 26
74076 Heilbronn ",Autohaus Heermann - Rhein GmbH,,Neckarsulmer Str. 26,74076,Heilbronn ,DE
16971,"Caritasverband e.V. Pforzheim
Blumenhof 6
75175 Pforzheim",Caritasverband e.V. Pforzheim,,Blumenhof 6,75175,Pforzheim,DE
16363,"Sparkassen Informationstechnologie GmbH & Co. KG
Marktstr. 7-11
75365 Calw
",Sparkassen Informationstechnologie GmbH & Co. KG,,Marktstr. 7-11,75365,Calw,DE
17323,"S-IT Informationstechnologie Betreiber GmbH & Co KG
Marktstraße 7-11
75365 Calw",S-IT Informationstechnologie Betreiber GmbH & Co KG,,Marktstraße 7-11,75365,Calw,DE
17239,"COMback GmbH
Jägerhaus / CITA
75394 Oberreichenbach",COMback GmbH,,Jägerhaus / CITA,75394,Oberreichenbach,DE
17338,"andrena objects ag
Albert-Nestler-Straße 9
76131 Karlsruhe",andrena objects ag,,Albert-Nestler-Straße 9,76131,Karlsruhe,DE
16932,"LS Medizin Service GmbH
Otto Hahn-Straße 18
76275 Ettlingen",LS Medizin Service GmbH,,Otto Hahn-Straße 18,76275,Ettlingen,DE
17889,"MRK Media AG
Herzog-Rudolf-Straße 1
80539 München",MRK Media AG,,Herzog-Rudolf-Straße 1,80539,München,DE
18695,"Bayerisches Landeskriminalamt Abteilung 3 SG 313
Maillingerstraße 15
80636 München",Bayerisches Landeskriminalamt Abteilung 3 SG 313,,Maillingerstraße 15,80636,München,DE
17268,"RISE FX South GmbH
Infanteriestr. 11a
80797 München",RISE FX South GmbH,,Infanteriestr. 11a,80797,München,DE
17345,"Banovo GmbH
Balanstr. 73 - Haus 35
81541 München",Banovo GmbH,,Balanstr. 73 - Haus 35,81541,München,DE
18647,"SkyFive AG
Willy-Messerschmitt-Straße 1
82024 Taufkirchen",SkyFive AG,,Willy-Messerschmitt-Straße 1,82024,Taufkirchen,DE
18587,"GIEAG Projekt 290 GmbH
Bahnhofstraße 43
82041 Deisenhofen-Oberhaching",GIEAG Projekt 290 GmbH,,Bahnhofstraße 43,82041,Deisenhofen-Oberhaching,DE
16677,"Autohaus Josef Bauer GmbH
Bahnhofstr. 43
84494 Neumarkt-St. Veit",Autohaus Josef Bauer GmbH,,Bahnhofstr. 43,84494,Neumarkt-St. Veit,DE
18750,"CDH AG
Despag-Straße 3
85055 Ingolstadt",CDH AG,,Despag-Straße 3,85055,Ingolstadt,DE
16672,"Spaett GmbH & Co.KG
Rudolf-Diesel-Str. 3
85356 Freising
Deutschland ",Spaett GmbH & Co.KG,,Rudolf-Diesel-Str. 3,85356,Freising,DE
16595,"Autohaus Richard Wagner GmbH
Münchner Straße 80
85614 Kirchseeon",Autohaus Richard Wagner GmbH,,Münchner Straße 80,85614,Kirchseeon,DE
16234,"Technische Universitaet Muenchen / I8
Chair for Network Architectures and Services Department of Computer Science / I8
Prof. Dr.-Ing. Georg Carle
Boltzmannstr. 3
85748 Garching b. Muenchen",Technische Universitaet Muenchen / I8,"Chair for Network Architectures and Services Department of Computer Science / I8
Prof. Dr.-Ing. Georg Carle",Boltzmannstr. 3,85748,Garching b. Muenchen,DE
